Orthogroup_ID	Gene_Group	Group_function	Gene_Name	D_melanogaster	I_luminosus	P_pyralis	C_septempunctata	A_verrucosus	T_castaneum	Z_morio	T_molitor	D_ponderosae	R_ferrugineus	A_obtectus	B_siliquastri	C_chinensis	C_maculatus	max_delta_GF	transcript_ID_native	Flybase	Flybase_summary	CAFE_p-value
N0.HOG0000059	Gene Group 1	detoxification	Cytochrome P450 9f3(Cyp9f3)	6	57	32	7	10	20	3	26	9	10	7	1	7	6	56	rna-NM_001363930.1	FBgn0038034	The gene Cytochrome P450 9f3 is referred to in FlyBase by the symbol Dmel\Cyp9f3 (CG17875, FBgn0038034). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 3R:12396007..12398929. Its molecular function is described by: iron ion binding. The biological processes in which it is involved are not known. No alleles are reported. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderate expression to a trough of very low expression.  Peak expression observed within 18-24 hour embryonic stages, during late larval stages, at stages throughout the pupal period, in adult male stages.	0.0
N0.HOG0000059	Gene Group 1	detoxification	Cytochrome P450 9f2(Cyp9f2)	6	57	32	7	10	20	3	26	9	10	7	1	7	6	56	rna-NM_141932.3	FBgn0038037	The gene Cytochrome P450 9f2 is referred to in FlyBase by the symbol Dmel\Cyp9f2 (CG11466, FBgn0038037). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 3R:12403340..12406028. Its molecular function is described by: monooxygenase activity; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; iron ion binding; heme binding. It is involved in the biological process described with: wing disc development. 8 alleles are reported. The phenotype of these alleles manifest in: wing margin. The phenotypic classes of alleles include: fertile; viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of high expression to a trough of very low expression.  Peak expression observed during late larval stages, in adult male stages.	0.0
N0.HOG0000059	Gene Group 1	detoxification	Cytochrome P450 9f2(Cyp9f2)	6	57	32	7	10	20	3	26	9	10	7	1	7	6	56	rna-NM_141932.3	FBgn0038037	The gene Cytochrome P450 9f2 is referred to in FlyBase by the symbol Dmel\Cyp9f2 (CG11466, FBgn0038037). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 3R:12403340..12406028. Its molecular function is described by: monooxygenase activity; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; iron ion binding; heme binding. It is involved in the biological process described with: wing disc development. 8 alleles are reported. The phenotype of these alleles manifest in: wing margin. The phenotypic classes of alleles include: fertile; viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of high expression to a trough of very low expression.  Peak expression observed during late larval stages, in adult male stages.	0.0
N0.HOG0000059	Gene Group 1	detoxification	Cytochrome P450 9f3(Cyp9f3)	6	57	32	7	10	20	3	26	9	10	7	1	7	6	56	rna-NM_001363930.1	FBgn0038034	The gene Cytochrome P450 9f3 is referred to in FlyBase by the symbol Dmel\Cyp9f3 (CG17875, FBgn0038034). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 3R:12396007..12398929. Its molecular function is described by: iron ion binding. The biological processes in which it is involved are not known. No alleles are reported. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderate expression to a trough of very low expression.  Peak expression observed within 18-24 hour embryonic stages, during late larval stages, at stages throughout the pupal period, in adult male stages.	0.0
N0.HOG0000059	Gene Group 1	detoxification	Cytochrome P450 9h1(Cyp9h1)	6	57	32	7	10	20	3	26	9	10	7	1	7	6	56	rna-NM_136976.2	FBgn0033775	The gene Cytochrome P450 9h1 is referred to in FlyBase by the symbol Dmel\Cyp9h1 (CG17577, FBgn0033775). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 2R:12840813..12842558. Its molecular function is described by: heme binding; iron ion binding; monooxygenase activity; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen. The biological processes in which it is involved are not known. 6 alleles are reported. No phenotypic data is available. The phenotypic class of alleles includes: viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderately high expression to a trough of no expression detected.  Peak expression observed during early pupal stages.	0.0
N0.HOG0000059	Gene Group 1	detoxification	Cytochrome P450 9c1(Cyp9c1)	6	57	32	7	10	20	3	26	9	10	7	1	7	6	56	rna-NM_079126.3	FBgn0015040	The gene Cytochrome P450 9c1 is referred to in FlyBase by the symbol Dmel\Cyp9c1 (CG3616, FBgn0015040). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 2R:24631063..24632923. Its molecular function is described by: oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; monooxygenase activity; iron ion binding; heme binding. The biological processes in which it is involved are not known. 4 alleles are reported. The phenotype of these alleles manifest in: wing. The phenotypic class of alleles includes: abnormal size. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of high expression to a trough of very low expression.  Peak expression observed at stages throughout the larval period, at stages throughout the pupal period.	0.0
N0.HOG0000059	Gene Group 1	detoxification	Cytochrome P450 9b2(Cyp9b2)	6	57	32	7	10	20	3	26	9	10	7	1	7	6	56	rna-NM_078922.4	FBgn0015039	The gene Cytochrome P450 9b2 is referred to in FlyBase by the symbol Dmel\Cyp9b2 (CG4486, FBgn0015039). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 2R:7130277..7132139. Its molecular function is described by: heme binding; iron ion binding; monooxygenase activity; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen. The biological processes in which it is involved are not known. 7 alleles are reported. No phenotypic data is available. No phenotypic class data is available. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of very high expression to a trough of very low expression.  Peak expression observed during late larval stages.	0.0
N0.HOG0000059	Gene Group 1	detoxification	Cytochrome P450 9b1(Cyp9b1)	6	57	32	7	10	20	3	26	9	10	7	1	7	6	56	rna-NM_078921.4	FBgn0015038	The gene Cytochrome P450 9b1 is referred to in FlyBase by the symbol Dmel\Cyp9b1 (CG4485, FBgn0015038). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 2R:7127838..7129808. Its molecular function is described by: monooxygenase activity; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; iron ion binding; heme binding. The biological processes in which it is involved are not known. 7 alleles are reported. No phenotypic data is available. The phenotypic class of alleles includes: viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of low expression to a trough of no expression detected.  Peak expression observed within 18-24 hour embryonic stages, at stages throughout the larval period, at stages throughout the pupal period, in stages of adults of both sexes.	0.0
N0.HOG0000067	Gene Group 23,Gene Group 25	Cuticular protein,glycolysis and early development (and other)	Cuticular protein 30F(Cpr30F)	1	1	1	11	3	3	5	3	3	6	2	2	4	4	10	rna-NM_164879.3	FBgn0051876	The gene Cuticular protein 30F is referred to in FlyBase by the symbol Dmel\Cpr30F (CG31876, FBgn0051876). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 2L:9932272..9933163. Its molecular function is described by: structural constituent of chitin-based larval cuticle. It is involved in the biological process described with: chitin-based cuticle development. 4 alleles are reported. The phenotypes of these alleles manifest in: larval neuroblast; ganglion mother cell; mesonotum; trichogen cell. The phenotypic classes of alleles include: lethal; some die during P-stage; increased mortality during development; phenotype. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of extremely high expression to a trough of no expression detected.  Peak expression observed during late pupal stages.	0.0
N0.HOG0000068	None	None	None	1	43	39	21	1	4	4	2	1	2	16	4	5	48	47	rna-NM_168749.2	FBgn0052187	This gene is referred to in FlyBase by the symbol Dmel\CG32187 (FBgn0052187). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 3L:17804916..17806365. Its molecular function is unknown. The biological processes in which it is involved are not known. 3 alleles are reported. No phenotypic data is available. The phenotypic classes of alleles include: some die during pupal stage; partially lethal - majority die; viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderate expression to a trough of extremely low expression.  Peak expression observed within 06-18 hour embryonic stages, during early pupal stages.	0.0
N0.HOG0000069	None	None	None	1	19	48	8	11	2	18	2	2	1	39	7	6	19	47	rna-NM_143799.3	FBgn0026148	This gene is referred to in FlyBase by the symbol Dmel\CG12253 (FBgn0026148). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 2L:10987806..10989241. Its molecular function is unknown. The biological processes in which it is involved are not known. 6 alleles are reported. No phenotypic data is available. The phenotypic class of alleles includes: viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderately high expression to a trough of very low expression.  Peak expression observed within 00-06 hour embryonic stages.	0.0
N0.HOG0000071	None	None	None	1	7	3	1	11	2	13	2	1	1	7	2	16	4	15	rna-NM_001299601.1	FBgn0028953	This gene is referred to in FlyBase by the symbol Dmel\CG14478 (FBgn0028953). It is a protein_coding_gene from Dmel. It has 4 annotated transcripts and 4 polypeptides (1 unique). Gene sequence location is 2R:17457663..17465795. Its molecular function is described by: nucleic acid binding. The biological processes in which it is involved are not known. 19 alleles are reported. No phenotypic data is available. The phenotypic classes of alleles include: abnormal behavior; viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of very high expression to a trough of moderate expression.  Peak expression observed within 00-12 hour embryonic stages.	0.0
N0.HOG0000072	None	None	None	1	21	1	10	8	1	5	1	1	1	39	1	15	11	38	rna-NM_141770.3	FBgn0037844	This gene is referred to in FlyBase by the symbol Dmel\CG4570 (FBgn0037844). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 3R:10856807..10858066. Its molecular function is described by: nucleic acid binding. The biological processes in which it is involved are not known. 10 alleles are reported. No phenotypic data is available. The phenotypic class of alleles includes: viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of very high expression to a trough of very low expression.  Peak expression observed within 00-06 hour embryonic stages.	0.0
N0.HOG0000073	None	None	None	1	21	10	5	14	16	4	15	16	18	15	15	13	18	20	rna-NM_140661.3	FBgn0036659	This gene is referred to in FlyBase by the symbol Dmel\CG9701 (FBgn0036659). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 3L:16733546..16739364. Its molecular function is described by: hydrolase activity, hydrolyzing O-glycosyl compounds; beta-glucosidase activity. It is involved in the biological process described with: carbohydrate metabolic process. 5 alleles are reported. No phenotypic data is available. The phenotypic class of alleles includes: viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of very high expression to a trough of extremely low expression.  Peak expression observed at stages throughout the pupal period.	0.0
N0.HOG0000078	Gene Group 25	glycolysis and early development (and other)	uncharacterized protein(CG8757)	9	2	5	7	34	17	17	41	9	7	5	7	6	7	39	rna-NM_140407.2	FBgn0036380	This gene is referred to in FlyBase by the symbol Dmel\CG8757 (FBgn0036380). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 3L:13840197..13842240. Its molecular function is described by: 3-beta-hydroxysteroid 3-dehydrogenase (NADP+) activity; oxidoreductase activity; 17-beta-hydroxysteroid dehydrogenase (NADP+) activity; estradiol 17-beta-dehydrogenase [NAD(P)+] activity. The biological processes in which it is involved are not known. 3 alleles are reported. No phenotypic data is available. The phenotypic class of alleles includes: viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of high expression to a trough of no expression detected.  Peak expression observed during late pupal stages.	0.0
N0.HOG0000078	Gene Group 11,Gene Group 25	eyesight,glycolysis and early development (and other)	uncharacterized protein(CG9150)	9	2	5	7	34	17	17	41	9	7	5	7	6	7	39	rna-NM_135147.3	FBgn0031775	This gene is referred to in FlyBase by the symbol Dmel\CG9150 (FBgn0031775). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 2L:6067668..6068594. Its molecular function is described by: 3-beta-hydroxysteroid 3-dehydrogenase (NADP+) activity; oxidoreductase activity; estradiol 17-beta-dehydrogenase [NAD(P)+] activity; 17-beta-hydroxysteroid dehydrogenase (NADP+) activity. The biological processes in which it is involved are not known. 5 alleles are reported. No phenotypic data is available. The phenotypic class of alleles includes: viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of high expression to a trough of very low expression.  Peak expression observed during late pupal stages.	0.0
N0.HOG0000078	Gene Group 25	glycolysis and early development (and other)	uncharacterized protein(CG3301)	9	2	5	7	34	17	17	41	9	7	5	7	6	7	39	rna-NM_169954.2	FBgn0038878	This gene is referred to in FlyBase by the symbol Dmel\CG3301 (FBgn0038878). It is a protein_coding_gene from Dmel. It has 3 annotated transcripts and 3 polypeptides (1 unique). Gene sequence location is 3R:21274243..21276249. Its molecular function is described by: 3-beta-hydroxysteroid 3-dehydrogenase (NADP+) activity; estradiol 17-beta-dehydrogenase [NAD(P)+] activity; 17-beta-hydroxysteroid dehydrogenase (NADP+) activity. The biological processes in which it is involved are not known. 6 alleles are reported. No phenotypic data is available. The phenotypic classes of alleles include: fertile; viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderately high expression to a trough of extremely low expression.  Peak expression observed within 18-24 hour embryonic stages, during early larval stages, during late pupal stages, in stages of adults of both sexes.	0.0
N0.HOG0000078	Gene Group 25	glycolysis and early development (and other)	uncharacterized protein(CG9360)	9	2	5	7	34	17	17	41	9	7	5	7	6	7	39	rna-NM_132518.3	FBgn0030332	This gene is referred to in FlyBase by the symbol Dmel\CG9360 (FBgn0030332). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is X:11763474..11764590. Its molecular function is described by: 17-beta-hydroxysteroid dehydrogenase (NADP+) activity; estradiol 17-beta-dehydrogenase [NAD(P)+] activity; 3-beta-hydroxysteroid 3-dehydrogenase (NADP+) activity. The biological processes in which it is involved are not known. One allele is reported. No phenotypic data is available. The phenotypic class of allele includes: viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of high expression to a trough of very low expression.  Peak expression observed within 18-24 hour embryonic stages, during early larval stages, during late pupal stages, in stages of adults of both sexes.	0.0
N0.HOG0000078	Gene Group 25	glycolysis and early development (and other)	uncharacterized protein(CG40486)	9	2	5	7	34	17	17	41	9	7	5	7	6	7	39	rna-NM_001042846.3	FBgn0263830	This gene is referred to in FlyBase by the symbol Dmel\CG40486 (FBgn0263830). It is a protein_coding_gene from Dmel. It has 2 annotated transcripts and 2 polypeptides (1 unique). Gene sequence location is X:22958856..22960091. Its molecular function is described by: estradiol 17-beta-dehydrogenase [NAD(P)+] activity; 17-beta-hydroxysteroid dehydrogenase (NADP+) activity; 3-beta-hydroxysteroid 3-dehydrogenase (NADP+) activity. The biological processes in which it is involved are not known. 3 alleles are reported. No phenotypic data is available. The phenotypic class of alleles includes: viable.	0.0
N0.HOG0000078	Gene Group 25	glycolysis and early development (and other)	uncharacterized protein(CG40485)	9	2	5	7	34	17	17	41	9	7	5	7	6	7	39	rna-NM_001042848.2	FBgn0069973	This gene is referred to in FlyBase by the symbol Dmel\CG40485 (FBgn0069973). It is a protein_coding_gene from Dmel. It has 3 annotated transcripts and 3 polypeptides (2 unique). Gene sequence location is X:22960609..22962360. Its molecular function is described by: 3-beta-hydroxysteroid 3-dehydrogenase (NADP+) activity; 17-beta-hydroxysteroid dehydrogenase (NADP+) activity; estradiol 17-beta-dehydrogenase [NAD(P)+] activity. The biological processes in which it is involved are not known. 6 alleles are reported. The phenotypes of these alleles manifest in: larval neuroblast; ganglion mother cell. The phenotypic classes of alleles include: some die during pupal stage; lethal; lethal - all die before end of pupal stage; lethal - all die during P-stage; abnormal neuroanatomy. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderately high expression to a trough of extremely low expression.  Peak expression observed in adults stages of both sexes.	0.0
N0.HOG0000078	Gene Group 11,Gene Group 25	eyesight,glycolysis and early development (and other)	Antennal dehydrogenase(Antdh)	9	2	5	7	34	17	17	41	9	7	5	7	6	7	39	rna-NM_132467.3	FBgn0026268	The gene Antennal dehydrogenase is referred to in FlyBase by the symbol Dmel\Antdh (CG1386, FBgn0026268). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is X:11168030..11169058. Its molecular function is described by: estradiol 17-beta-dehydrogenase [NAD(P)+] activity; 17-beta-hydroxysteroid dehydrogenase (NADP+) activity; oxidoreductase activity; 3-beta-hydroxysteroid 3-dehydrogenase (NADP+) activity. The biological processes in which it is involved are not known. 2 alleles are reported. No phenotypic data is available. The phenotypic classes of alleles include: some die during pupal stage; viable; partially lethal. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderately high expression to a trough of no expression detected.  Peak expression observed during late pupal stages, in stages of adults of both sexes.	0.0
N0.HOG0000078	Gene Group 25	glycolysis and early development (and other)	uncharacterized protein(CG10962)	9	2	5	7	34	17	17	41	9	7	5	7	6	7	39	rna-NM_176714.3	FBgn0030073	This gene is referred to in FlyBase by the symbol Dmel\CG10962 (FBgn0030073). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is X:8972908..8974255. Its molecular function is described by: 3-beta-hydroxysteroid 3-dehydrogenase (NADP+) activity; 17-beta-hydroxysteroid dehydrogenase (NADP+) activity; estradiol 17-beta-dehydrogenase [NAD(P)+] activity. The biological processes in which it is involved are not known. 4 alleles are reported. No phenotypic data is available. The phenotypic classes of alleles include: abnormal locomotor behavior; viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of very high expression to a trough of low expression.  Peak expression observed during early pupal stages.	0.0
N0.HOG0000078	None	None	retinol dehydrogenase B (from API summary)	9	2	5	7	34	17	17	41	9	7	5	7	6	7	39	rna-NM_001275902.1	FBgn0038946	The gene retinol dehydrogenase B is referred to in FlyBase by the symbol Dmel\rdhB (CG7077, FBgn0038946). It is a protein_coding_gene from Dmel. It has 2 annotated transcripts and 2 polypeptides (1 unique). Gene sequence location is 3R:22351696..22356264. Its molecular function is described by: all-trans-retinol dehydrogenase (NAD+) activity. It is involved in the biological process described with: rhodopsin biosynthetic process. 8 alleles are reported. The phenotypes of these alleles manifest in: eye; rhabdomere; Johnston organ; abdominal lateral pentascolopidial chordotonal organ lch5. The phenotypic classes of alleles include: lethal; abnormal neurophysiology; viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of high expression to a trough of no expression detected.  Peak expression observed during late pupal stages.	0.0
N0.HOG0000082	Gene Group 2	protein breakdown (proteolysis)	uncharacterized protein(CG17242)	18	1	1	1	1	1	1	2	1	1	1	1	1	1	17	rna-NM_001272992.2	FBgn0250841	This gene is referred to in FlyBase by the symbol Dmel\CG17242 (FBgn0250841). It is a protein_coding_gene from Dmel. It has 2 annotated transcripts and 2 polypeptides (1 unique). Gene sequence location is 2L:2268106..2269140. Its molecular function is unknown. It is involved in the biological process described with: proteolysis; sexual reproduction. 8 alleles are reported. No phenotypic data is available. The phenotypic class of alleles includes: viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of very high expression to a trough of no expression detected.  Peak expression observed in adult male stages.	0.047
N0.HOG0000082	Gene Group 2	protein breakdown (proteolysis)	uncharacterized protein(CG17239)	18	1	1	1	1	1	1	2	1	1	1	1	1	1	17	rna-NM_001272991.1	FBgn0042186	This gene is referred to in FlyBase by the symbol Dmel\CG17239 (FBgn0042186). It is a protein_coding_gene from Dmel. It has 2 annotated transcripts and 2 polypeptides (1 unique). Gene sequence location is 2L:2251510..2252341. Its molecular function is described by: serine-type endopeptidase activity. It is involved in the biological process described with: proteolysis. 9 alleles are reported. No phenotypic data is available. No phenotypic class data is available. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderately high expression to a trough of no expression detected.  Peak expression observed in adult female stages.	0.047
N0.HOG0000082	Gene Group 2	protein breakdown (proteolysis)	Serine protease 12(Ser12)	18	1	1	1	1	1	1	2	1	1	1	1	1	1	17	rna-NM_078732.2	FBgn0011832	The gene Serine protease 12 is referred to in FlyBase by the symbol Dmel\Ser12 (CG17240, FBgn0011832). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 2L:2250431..2251275. Its molecular function is described by: serine-type endopeptidase activity. It is involved in the biological process described with: proteolysis; wound healing. 9 alleles are reported. No phenotypic data is available. The phenotypic class of alleles includes: viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderately high expression to a trough of no expression detected.  Peak expression observed in adult female stages.	0.047
N0.HOG0000082	Gene Group 2	protein breakdown (proteolysis)	iotaTrypsin(iotaTry)	18	1	1	1	1	1	1	2	1	1	1	1	1	1	17	rna-NM_078971.4	FBgn0015001	The gene iotaTrypsin is referred to in FlyBase by the symbol Dmel\ιTry (CG7754, FBgn0015001). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 2R:11356720..11357537. Its molecular function is described by: serine-type endopeptidase activity; serine hydrolase activity. It is involved in the biological process described with: proteolysis. 4 alleles are reported. No phenotypic data is available. The phenotypic classes of alleles include: viable; short lived. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of high expression to a trough of extremely low expression.  Peak expression observed during late larval stages.	0.047
N0.HOG0000082	Gene Group 2	protein breakdown (proteolysis)	uncharacterized protein(CG30025)	18	1	1	1	1	1	1	2	1	1	1	1	1	1	17	rna-NM_165825.2	FBgn0050025	This gene is referred to in FlyBase by the symbol Dmel\CG30025 (FBgn0050025). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 2R:11353564..11354373. Its molecular function is described by: serine-type endopeptidase activity; serine hydrolase activity. It is involved in the biological process described with: proteolysis. One allele is reported. No phenotypic data is available. No phenotypic class data is available. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of extremely high expression to a trough of no expression detected.  Peak expression observed during late larval stages.	0.047
N0.HOG0000082	Gene Group 2	protein breakdown (proteolysis)	deltaTrypsin(deltaTry)	18	1	1	1	1	1	1	2	1	1	1	1	1	1	17	rna-NM_078970.4	FBgn0010358	The gene deltaTrypsin is referred to in FlyBase by the symbol Dmel\δTry (CG12351, FBgn0010358). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 2R:11355319..11356128. Its molecular function is described by: serine-type endopeptidase activity. It is involved in the biological process described with: proteolysis. 2 alleles are reported. No phenotypic data is available. No phenotypic class data is available. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of extremely high expression to a trough of no expression detected.  Peak expression observed during late larval stages.	0.047
N0.HOG0000082	Gene Group 2	protein breakdown (proteolysis)	uncharacterized protein(CG30031)	18	1	1	1	1	1	1	2	1	1	1	1	1	1	17	rna-NM_165824.3	FBgn0050031	This gene is referred to in FlyBase by the symbol Dmel\CG30031 (FBgn0050031). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 2R:11350811..11351621. Its molecular function is described by: serine-type endopeptidase activity. It is involved in the biological process described with: proteolysis. One allele is reported. No phenotypic data is available. No phenotypic class data is available. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of very high expression to a trough of no expression detected.  Peak expression observed at stages throughout the larval period.	0.047
N0.HOG0000082	Gene Group 2	protein breakdown (proteolysis)	gammaTrypsin(gammaTry)	18	1	1	1	1	1	1	2	1	1	1	1	1	1	17	rna-NM_165823.3	FBgn0010359	The gene gammaTrypsin is referred to in FlyBase by the symbol Dmel\γTry (CG30028, FBgn0010359). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 2R:11349061..11349870. Its molecular function is described by: serine-type endopeptidase activity. It is involved in the biological process described with: proteolysis. One allele is reported. No phenotypic data is available. No phenotypic class data is available. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of very high expression to a trough of no expression detected.  Peak expression observed at stages throughout the larval period, in stages of adults of both sexes.	0.047
N0.HOG0000082	Gene Group 2	protein breakdown (proteolysis)	deltaTrypsin(deltaTry)	18	1	1	1	1	1	1	2	1	1	1	1	1	1	17	rna-NM_078970.4	FBgn0010358	The gene deltaTrypsin is referred to in FlyBase by the symbol Dmel\δTry (CG12351, FBgn0010358). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 2R:11355319..11356128. Its molecular function is described by: serine-type endopeptidase activity. It is involved in the biological process described with: proteolysis. 2 alleles are reported. No phenotypic data is available. No phenotypic class data is available. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of extremely high expression to a trough of no expression detected.  Peak expression observed during late larval stages.	0.047
N0.HOG0000082	Gene Group 2	protein breakdown (proteolysis)	uncharacterized protein(CG30031)	18	1	1	1	1	1	1	2	1	1	1	1	1	1	17	rna-NM_165824.3	FBgn0050031	This gene is referred to in FlyBase by the symbol Dmel\CG30031 (FBgn0050031). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 2R:11350811..11351621. Its molecular function is described by: serine-type endopeptidase activity. It is involved in the biological process described with: proteolysis. One allele is reported. No phenotypic data is available. No phenotypic class data is available. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of very high expression to a trough of no expression detected.  Peak expression observed at stages throughout the larval period.	0.047
N0.HOG0000082	Gene Group 2	protein breakdown (proteolysis)	gammaTrypsin(gammaTry)	18	1	1	1	1	1	1	2	1	1	1	1	1	1	17	rna-NM_165823.3	FBgn0010359	The gene gammaTrypsin is referred to in FlyBase by the symbol Dmel\γTry (CG30028, FBgn0010359). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 2R:11349061..11349870. Its molecular function is described by: serine-type endopeptidase activity. It is involved in the biological process described with: proteolysis. One allele is reported. No phenotypic data is available. No phenotypic class data is available. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of very high expression to a trough of no expression detected.  Peak expression observed at stages throughout the larval period, in stages of adults of both sexes.	0.047
N0.HOG0000082	Gene Group 2	protein breakdown (proteolysis)	uncharacterized protein(CG30025)	18	1	1	1	1	1	1	2	1	1	1	1	1	1	17	rna-NM_165825.2	FBgn0050025	This gene is referred to in FlyBase by the symbol Dmel\CG30025 (FBgn0050025). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 2R:11353564..11354373. Its molecular function is described by: serine-type endopeptidase activity; serine hydrolase activity. It is involved in the biological process described with: proteolysis. One allele is reported. No phenotypic data is available. No phenotypic class data is available. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of extremely high expression to a trough of no expression detected.  Peak expression observed during late larval stages.	0.047
N0.HOG0000082	Gene Group 2	protein breakdown (proteolysis)	deltaTrypsin(deltaTry)	18	1	1	1	1	1	1	2	1	1	1	1	1	1	17	rna-NM_078970.4	FBgn0010358	The gene deltaTrypsin is referred to in FlyBase by the symbol Dmel\δTry (CG12351, FBgn0010358). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 2R:11355319..11356128. Its molecular function is described by: serine-type endopeptidase activity. It is involved in the biological process described with: proteolysis. 2 alleles are reported. No phenotypic data is available. No phenotypic class data is available. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of extremely high expression to a trough of no expression detected.  Peak expression observed during late larval stages.	0.047
